,density,burn_percentage,directions,ticks
491,50.0,2.218614718614719,4.0,52.0
492,50.0,2.3446733748602457,4.0,40.0
493,50.0,1.6221374045801527,4.0,44.0
494,50.0,1.848910350085774,4.0,36.0
495,50.0,1.92689964732286,4.0,37.0
496,50.0,1.7110326622777723,4.0,41.0
497,50.0,2.308376198641011,4.0,41.0
498,50.0,3.134505170812922,4.0,74.0
499,50.0,2.08792965627498,4.0,50.0
500,51.0,2.1838829438742087,4.0,41.0
501,51.0,2.248627744510978,4.0,43.0
502,51.0,1.8192635270541082,4.0,47.0
503,51.0,2.7340823970037453,4.0,47.0
504,51.0,1.9820552099290338,4.0,56.0
505,51.0,2.1722168471645706,4.0,41.0
506,51.0,3.588576417035605,4.0,73.0
507,51.0,3.7920164788864263,4.0,72.0
508,51.0,2.4953212726138494,4.0,46.0
509,51.0,2.5700640945079805,4.0,43.0
510,52.0,2.9013894839933894,4.0,70.0
511,52.0,1.6021115953594007,4.0,36.0
512,52.0,2.549739822467095,4.0,48.0
513,52.0,2.922087908707822,4.0,64.0
514,52.0,3.1553472413687467,4.0,139.0
515,52.0,3.5290848462393476,4.0,74.0
516,52.0,3.6920347485623397,4.0,87.0
517,52.0,3.4582044291971696,4.0,71.0
518,52.0,2.542607093505297,4.0,63.0
519,52.0,3.268735434809273,4.0,76.0
520,53.0,3.5068213233968386,4.0,60.0
521,53.0,2.9621848739495795,4.0,67.0
522,53.0,6.0674631909244505,4.0,104.0
523,53.0,2.046827567551321,4.0,35.0
524,53.0,4.016341734506894,4.0,79.0
525,53.0,3.5078219013237066,4.0,68.0
526,53.0,3.3216888514123952,4.0,83.0
527,53.0,4.0540135033758435,4.0,48.0
528,53.0,3.864864864864865,4.0,85.0
529,53.0,4.101520993351347,4.0,69.0
530,54.0,4.489940409463685,4.0,95.0
531,54.0,3.927474604299551,4.0,68.0
532,54.0,4.565146915799711,4.0,79.0
533,54.0,3.174884187542416,4.0,57.0
534,54.0,4.886717014660151,4.0,73.0
535,54.0,2.982787078519217,4.0,70.0
536,54.0,3.01174521463862,4.0,63.0
537,54.0,3.35140901413459,4.0,60.0
538,54.0,3.825136612021858,4.0,92.0
539,54.0,3.600567577155019,4.0,74.0
540,55.0,6.529358940934504,4.0,155.0
541,55.0,2.7919369786839665,4.0,41.0
542,55.0,6.042234727620816,4.0,98.0
543,55.0,3.9102749638205503,4.0,55.0
544,55.0,11.70889737359713,4.0,176.0
545,55.0,3.027756852291824,4.0,55.0
546,55.0,6.626801860357628,4.0,207.0
547,55.0,6.500839752128337,4.0,102.0
548,55.0,5.4185200161746865,4.0,103.0
549,55.0,4.875083229597892,4.0,83.0
550,56.0,10.844264860711949,4.0,209.0
551,56.0,7.424091233071989,4.0,121.0
552,56.0,9.18500824660183,4.0,154.0
553,56.0,12.106606180890275,4.0,258.0
554,56.0,7.448494453248812,4.0,121.0
555,56.0,6.478817060315109,4.0,115.0
556,56.0,10.227240245819637,4.0,264.0
557,56.0,3.461811975536908,4.0,67.0
558,56.0,6.592156528168813,4.0,138.0
559,56.0,8.456797104727437,4.0,126.0
560,57.0,15.89059484856112,4.0,210.0
561,57.0,18.017840560542535,4.0,227.0
562,57.0,8.194424989494326,4.0,116.0
563,57.0,13.233280232525644,4.0,232.0
564,57.0,10.39935074021213,4.0,161.0
565,57.0,14.634214341474294,4.0,196.0
566,57.0,14.87504183867009,4.0,233.0
567,57.0,13.054895935186478,4.0,200.0
568,57.0,25.10977711077761,4.0,389.0
569,57.0,8.269495187585935,4.0,122.0
570,58.0,19.06933304032524,4.0,239.0
571,58.0,16.187773767872393,4.0,256.0
572,58.0,18.312101910828023,4.0,275.0
573,58.0,32.27722772277228,4.0,706.0
574,58.0,13.272997359154928,4.0,217.0
575,58.0,32.46133596577822,4.0,309.0
576,58.0,22.14407385021155,4.0,238.0
577,58.0,15.04043865661412,4.0,236.0
578,58.0,15.48455920566755,4.0,282.0
579,58.0,28.156301596037427,4.0,284.0
