,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,wolves,sheep,grass,tick
260,62,62,12,25,5,5,72,37,215.0,83.0,722.0,100
261,62,62,12,25,5,5,72,37,73.0,55.0,1227.0,150
262,62,62,12,25,5,5,72,38,45.0,199.0,556.0,50
263,62,62,12,25,5,5,72,38,146.0,244.0,321.0,100
264,62,62,12,25,5,5,72,38,182.0,53.0,865.0,150
265,62,62,12,25,5,5,72,39,55.0,189.0,498.0,50
266,62,62,12,25,5,5,72,39,216.0,108.0,537.0,100
267,62,62,12,25,5,5,72,39,118.0,63.0,988.0,150
268,62,62,12,25,5,5,72,40,47.0,227.0,500.0,50
269,62,62,12,25,5,5,72,40,161.0,169.0,360.0,100
270,62,62,12,25,5,5,72,40,163.0,61.0,947.0,150
271,62,62,12,25,5,5,72,41,53.0,246.0,427.0,50
272,62,62,12,25,5,5,72,41,176.0,128.0,480.0,100
273,62,62,12,25,5,5,72,41,139.0,39.0,1131.0,150
274,62,62,12,25,5,5,72,42,65.0,252.0,422.0,50
275,62,62,12,25,5,5,72,42,207.0,121.0,532.0,100
276,62,62,12,25,5,5,72,42,136.0,87.0,924.0,150
277,62,62,12,25,5,5,72,43,78.0,232.0,427.0,50
278,62,62,12,25,5,5,72,43,234.0,94.0,574.0,100
279,62,62,12,25,5,5,72,43,85.0,68.0,1118.0,150
280,62,62,12,25,5,5,72,44,71.0,245.0,375.0,50
281,62,62,12,25,5,5,72,44,219.0,87.0,633.0,100
282,62,62,12,25,5,5,72,44,90.0,81.0,912.0,150
283,62,62,12,25,5,5,72,45,56.0,209.0,519.0,50
284,62,62,12,25,5,5,72,45,144.0,180.0,367.0,100
285,62,62,12,25,5,5,72,45,186.0,57.0,979.0,150
286,62,62,12,25,5,5,72,46,53.0,198.0,546.0,50
287,62,62,12,25,5,5,72,46,166.0,155.0,363.0,100
288,62,62,12,25,5,5,72,46,139.0,46.0,1165.0,150
289,62,62,12,25,5,5,72,47,39.0,255.0,412.0,50
290,62,62,12,25,5,5,72,47,152.0,195.0,376.0,100
291,62,62,12,25,5,5,72,47,181.0,50.0,888.0,150
292,62,62,12,25,5,5,72,48,99.0,232.0,373.0,50
293,62,62,12,25,5,5,72,48,227.0,102.0,625.0,100
294,62,62,12,25,5,5,72,48,116.0,54.0,1027.0,150
