,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,mean_wolves,mean_sheep,mean_grass,wolves,sheep,grass
691,62,62,38,72,5,5,72,2,340.0,340.0,1445.5,371.0,4.0,1573.0
692,62,62,38,72,5,5,72,3,354.6666666666667,354.6666666666667,1328.1666666666667,415.0,1.0,1221.0
693,62,62,38,72,5,5,72,4,342.1666666666667,342.1666666666667,1414.1666666666667,365.0,2.0,1565.0
694,62,62,38,72,5,5,72,5,346.3666666666667,346.3666666666667,1415.5666666666668,386.0,5.0,1572.0
695,62,62,38,72,5,5,72,6,310.36666666666673,310.36666666666673,1450.7333333333336,170.0,6.0,1783.0
696,62,62,38,72,5,5,72,7,325.22380952380956,325.22380952380956,1439.7333333333336,274.0,2.0,1706.0
697,62,62,38,72,5,5,72,8,350.72380952380956,350.72380952380956,1399.1083333333336,478.0,2.0,1381.0
698,62,62,38,72,5,5,72,9,344.168253968254,344.168253968254,1392.2194444444447,419.0,5.0,1319.0
699,62,62,38,72,5,5,72,10,330.66825396825396,330.66825396825396,1432.4194444444447,284.0,10.0,1721.0
700,62,62,38,72,5,5,72,11,333.4864357864358,333.4864357864358,1399.3285353535357,315.0,11.0,1357.0
701,62,62,38,72,5,5,72,12,348.4864357864358,348.4864357864358,1393.911868686869,495.0,1.0,1292.0
702,62,62,38,72,5,5,72,13,336.2556665556665,336.2556665556665,1386.7580225330228,336.0,17.0,1199.0
703,62,62,38,72,5,5,72,14,337.3270951270951,337.3270951270951,1401.90087967588,351.0,9.0,1411.0
704,62,62,38,72,5,5,72,15,330.1937617937618,330.1937617937618,1418.10087967588,244.0,4.0,1654.0
705,62,62,38,72,5,5,72,16,336.0062617937618,336.0062617937618,1408.47587967588,337.0,1.0,1500.0
706,62,62,38,72,5,5,72,17,340.3003794408206,340.3003794408206,1400.711173793527,410.0,6.0,1368.0
707,62,62,38,72,5,5,72,18,331.8003794408206,331.8003794408206,1410.600062682416,257.0,10.0,1546.0
708,62,62,38,72,5,5,72,19,333.6951162829259,333.6951162829259,1401.2316416297842,293.0,20.0,1368.0
709,62,62,38,72,5,5,72,20,333.4451162829258,333.4451162829258,1394.3316416297844,288.0,22.0,1230.0
710,62,62,38,72,5,5,72,21,329.82606866387823,329.82606866387823,1413.3792606774034,212.0,10.0,1630.0
711,62,62,38,72,5,5,72,22,330.82606866387823,330.82606866387823,1412.2428970410397,234.0,9.0,1605.0
712,62,62,38,72,5,5,72,23,329.4782425769217,329.4782425769217,1418.3733318236484,203.0,3.0,1746.0
713,62,62,38,72,5,5,72,24,335.14490924358836,335.14490924358836,1405.4149984903154,339.0,3.0,1435.0
714,62,62,38,72,5,5,72,25,336.18490924358844,336.18490924358844,1406.134998490315,365.0,3.0,1453.0
715,62,62,38,72,5,5,72,26,330.1079861666653,330.1079861666653,1404.6734600287766,207.0,25.0,1415.0
716,62,62,38,72,5,5,72,27,333.73761579629496,333.73761579629496,1412.4512378065542,305.0,8.0,1625.0
717,62,62,38,72,5,5,72,28,341.27333008200924,341.27333008200924,1402.5940949494113,516.0,1.0,1349.0
718,62,62,38,72,5,5,72,29,327.37677835787133,327.37677835787133,1419.9044397769976,113.0,12.0,1851.0
719,62,62,38,72,5,5,72,30,338.643445024538,338.643445024538,1407.3044397769977,451.0,6.0,1473.0
720,62,62,38,72,5,5,72,31,335.15957405679603,335.15957405679603,1406.9496010673201,343.0,4.0,1462.0
721,62,62,38,72,5,5,72,32,333.56582405679603,333.56582405679603,1407.9808510673201,292.0,7.0,1495.0
722,62,62,38,72,5,5,72,33,340.89915739012935,340.89915739012935,1403.9505480370171,534.0,1.0,1362.0
723,62,62,38,72,5,5,72,34,334.89915739012935,334.89915739012935,1406.2152539193698,330.0,6.0,1439.0
724,62,62,38,72,5,5,72,35,333.3563002472722,333.3563002472722,1410.9009682050842,276.0,7.0,1603.0
725,62,62,38,72,5,5,72,36,334.71741135838334,334.71741135838334,1410.4009682050842,325.0,4.0,1585.0
726,62,62,38,72,5,5,72,37,337.09578973676173,337.09578973676173,1405.1577249618408,413.0,5.0,1391.0
727,62,62,38,72,5,5,72,38,333.72736868413017,333.72736868413017,1402.7366723302619,285.0,13.0,1299.0
728,62,62,38,72,5,5,72,39,332.47095842771995,332.47095842771995,1413.864877458467,236.0,9.0,1733.0
729,62,62,38,72,5,5,72,40,339.27095842771996,339.27095842771996,1404.614877458467,508.0,4.0,1363.0
730,62,62,38,72,5,5,72,41,335.63681208625655,335.63681208625655,1408.2978042877353,359.0,8.0,1514.0
731,62,62,38,72,5,5,72,42,336.44633589578035,336.44633589578035,1407.0835185734495,393.0,3.0,1463.0
732,62,62,38,72,5,5,72,43,336.33005682601294,336.33005682601294,1403.1765418292634,388.0,9.0,1295.0
733,62,62,38,72,5,5,72,44,336.2846022805583,336.2846022805583,1405.2901781928997,386.0,7.0,1388.0
734,62,62,38,72,5,15,25,1,0.0,16.0,2381.0,0.0,16.0,2381.0
