,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,runs,CV_sheep,CV_wolves,CV_grass
189,62,62,38,72,15,15,72,10,0.0,0.577293168203135,14.262608075237905
190,62,62,38,72,15,15,72,15,0.0,0.6583570976342001,15.185253919914151
191,62,62,38,72,15,15,72,20,0.0,0.7056010471751448,16.743028208752747
192,62,188,12,25,5,5,25,3,11.535818097512244,1.3369862782510074,27.08938499220372
193,62,188,12,25,5,5,25,5,6.1994320045713325,1.237103900395789,5.788305472439463
194,62,188,12,25,5,5,25,7,4.450156054592249,1.1843046209979722,4.731753453563521
195,62,188,12,25,5,5,25,10,4.736142449839636,1.4528109648770433,5.193953250366302
196,62,188,12,25,5,5,25,15,4.277124468569256,1.6033997154018829,4.646553297511815
197,62,188,12,25,5,5,25,20,4.366267488953288,1.6262241619021305,4.816846846003231
198,62,188,12,25,5,5,72,3,4.170166758713836,1.270977818604485,1.4421829538268485
199,62,188,12,25,5,5,72,5,5.43351920642249,1.7565817305730553,1.8857914908839468
200,62,188,12,25,5,5,72,7,5.298562838667943,1.5686814039181238,2.494706715770481
201,62,188,12,25,5,5,72,10,5.5920970887954295,1.5329220257042908,2.82027704466374
202,62,188,12,25,5,5,72,15,5.846284659332694,1.6127904606052321,3.0328061324991067
203,62,188,12,25,5,5,72,20,5.794895340918562,1.6614621082934184,2.9820215098628404
204,62,188,12,25,5,15,25,3,2.136927489303337,0.5773502691896257,2.673094254707361
205,62,188,12,25,5,15,25,5,2.6214043317752225,0.6433935217894232,2.4618203134485426
206,62,188,12,25,5,15,25,7,3.2270731546584517,0.570579441391972,2.9132001156816965
207,62,188,12,25,5,15,25,10,3.2667621878053206,0.5553406124689098,2.310057996143495
208,62,188,12,25,5,15,25,15,3.313597643876265,0.6563237029837085,2.6318530044959214
209,62,188,12,25,5,15,25,20,3.391957161461821,0.5842086268199944,2.969233750366357
210,62,188,12,25,5,15,72,3,4.14561730998197,0.5773502691896258,1.6130358241782634
211,62,188,12,25,5,15,72,5,4.943956103559418,0.5264009695295625,1.6567144746751374
212,62,188,12,25,5,15,72,7,5.53402604303906,0.5367291720930357,1.771132456166085
213,62,188,12,25,5,15,72,10,5.75718523994637,0.6234793969851569,2.0156014433103593
214,62,188,12,25,5,15,72,15,4.288554931375336,0.6350618158236983,0.7809153000248997
215,62,188,12,25,5,15,72,20,3.9636114851911706,0.6831373401722061,0.8726533784556281
216,62,188,12,25,15,5,25,3,2.182178902359924,16.51158584885351,138.24333429596018
217,62,188,12,25,15,5,25,5,1.021024852378686,5.846075361430982,54.81746321559013
218,62,188,12,25,15,5,25,7,0.8750404521393618,4.203883637126843,58.6362915121708
219,62,188,12,25,15,5,25,10,0.6787352584891503,3.8287094917973286,39.044457483058764
220,62,188,12,25,15,5,25,15,0.660144624921225,4.266841057105999,37.88083228544531
221,62,188,12,25,15,5,25,20,0.7165308303308114,4.366746412163118,37.19857255649144
222,62,188,12,25,15,5,72,3,3.1247297332915047,8.63565512068911,19.480677037974736
223,62,188,12,25,15,5,72,5,1.481200415154665,4.128335343043033,6.344983094790729
