density,directions,combination_number,ticks,burn_percentage,time_label,burn_percentage_noise,ticks_noise,mean_burn,mean_burn_noise,sd_burn,sd_burn_noise,trend_burn,trend_burn_noise,total_ticks,sample_size,sample_method,summarise_runs,datapoints,run
78,8,156,264,100,end,96.8049829886267,254,52.840552406686314,52.88626104486508,30.283307456018406,30.48704834086642,0.39990893703822217,0.39866378277663306,264,198,full,summarised,endpoints,NA
79,4,157,312,99.74268253457704,end,100.62535666408087,310,53.465187160776914,53.69984826562213,30.738968636370238,30.75730354460678,0.3461397695965986,0.33960566351157473,312,198,full,summarised,endpoints,NA
79,8,158,263,99.99932668094102,end,101.06282737914563,266,52.65227891936509,52.790337458662485,30.193921709932162,30.334630759993672,0.3998283649971801,0.3969672878132877,263,198,full,summarised,endpoints,NA
80,4,159,313,99.77511990288365,end,95.4106692798233,312,53.95795182656319,53.94903074959861,30.916545826830607,31.267438491794774,0.3481498927755675,0.3435873571314278,313,198,full,summarised,endpoints,NA
80,8,160,263,99.9986684775372,end,95.06241003763681,260,52.66154305813777,52.51443609469507,30.211075991642165,30.11001011953461,0.40007944511294213,0.3938638743886477,263,198,full,summarised,endpoints,NA
81,4,161,305,99.8536357142588,end,107.60639216564509,305,53.38199913371273,53.297779269489304,30.604840234427282,30.597948873391086,0.3516981192437333,0.3455898741079001,305,198,full,summarised,endpoints,NA
81,8,162,264,99.99803555642865,end,103.1019595716355,271,52.80834227448664,52.91501898989187,30.27598451658534,30.408414552465622,0.3997285944110722,0.3964852863797596,264,198,full,summarised,endpoints,NA
82,4,163,305,99.848840138757,end,101.7278259778638,303,53.72798086189367,53.5092036249002,30.77965182492468,30.98678978997847,0.35458445976298414,0.3499094840552791,305,198,full,summarised,endpoints,NA
82,8,164,264,100,end,96.45175968630603,270,52.78991549528545,52.82935890682825,30.286456760459444,30.527665957779778,0.39967981537977076,0.3974302533928088,264,198,full,summarised,endpoints,NA
83,4,165,304,99.87715223525348,end,104.67041633450268,297,53.87460082690248,54.075405742891384,30.838723925732165,30.796463623085415,0.35641633154281605,0.34886319591274606,304,198,full,summarised,endpoints,NA
83,8,166,264,100,end,99.21288291429036,265,52.86334169265655,53.081566621056844,30.294361000344495,30.297666919259644,0.40016140643313713,0.3950071550011838,264,198,full,summarised,endpoints,NA
84,4,167,300,99.90325517869336,end,104.67883913994032,291,53.63499736441776,53.72306409450348,30.712936475363627,31.044170158615255,0.35907157503129944,0.3554034919112836,300,198,full,summarised,endpoints,NA
84,8,168,263,100,end,99.35870745688499,269,52.64061102442971,52.824324555429804,30.200198398837422,30.403932220994722,0.39992148976818276,0.39856135770648865,263,198,full,summarised,endpoints,NA
85,4,169,295,99.92675093439512,end,97.38010369826134,294,53.22695342233228,53.23630836273098,30.53738359071687,30.822859339145644,0.36214002847816534,0.35958890040871516,295,198,full,summarised,endpoints,NA
85,8,170,263,100,end,97.58644996814297,255,52.728572015332944,52.497729132239634,30.19551369321881,30.479578281591618,0.3998853822883637,0.39881597412362413,263,198,full,summarised,endpoints,NA
86,4,171,294,99.9370708323308,end,98.06399831688856,297,53.48074068268182,53.23833509795181,30.66957550657409,30.741624058104133,0.3658721315213895,0.35961675833805945,294,198,full,summarised,endpoints,NA
86,8,172,263,100,end,99.74042993148127,269,52.68069781114427,52.77708379173285,30.203910208889177,30.332919264827545,0.399936367627226,0.3967181521468775,263,198,full,summarised,endpoints,NA
87,4,173,291,99.95408125780618,end,98.24837628670372,301,53.36329835551036,53.61234022883708,30.577167453844144,30.64693549687095,0.3679021543159345,0.3631918725362768,291,198,full,summarised,endpoints,NA
87,8,174,263,100,end,97.07286101574174,258,52.677309533552716,52.95241635404291,30.20682117653281,30.449077419619343,0.4000828663415788,0.3970228666266473,263,198,full,summarised,endpoints,NA
88,4,175,288,99.97098230384157,end,103.73371601256092,286,53.164884493136626,53.31484871086112,30.522846756625512,30.755687500614183,0.37043174057745265,0.3678256138234608,288,198,full,summarised,endpoints,NA
88,8,176,263,100,end,99.19879121638029,265,52.65609814801523,52.7834846150816,30.20816124461351,30.59095629843779,0.400083305853368,0.4008964140532133,263,198,full,summarised,endpoints,NA
89,4,177,287,99.97488629700445,end,95.75982929160746,288,53.34722520437234,53.108367044027844,30.593602347643635,30.73219579988326,0.37318591615835117,0.36879171785954135,287,198,full,summarised,endpoints,NA
89,8,178,262,100,end,94.84103369555119,264,52.47308911778147,52.63544908432113,30.111865088661986,30.502909629302284,0.39988810050161355,0.40090288017548287,262,198,full,summarised,endpoints,NA
90,4,179,284,99.98492683220525,end,95.94496633781372,292,53.16020963575565,53.39463651132701,30.5024930398126,30.58019523900861,0.3752628129712563,0.37170702317373006,284,198,full,summarised,endpoints,NA
